File name	Artist	Song name
ThePrincess.mid	Rippingtons	The Princess
TouristInParadise.mid	Rippingtons	Tourist In Paradise
VirtualReality.mid	Rippingtons	Virtual Reality
WednesdaysChild.mid	Rippingtons	Wednesdays Child
WelcomeToTheStJamesClub.mid	Rippingtons	Welcome To The St James Club
WhatSheReallyWants.mid	Rippingtons	What She Really Wants
Children.mid	Robert Miles	Children
Fable.mid	Robert Miles	Fable
InTheDawn.mid	Robert Miles	In The Dawn
OneAndOne.mid	Robert Miles	One And One
KillingMeSoftly.mid	Roberta Flack	Killing Me Softly
MakingLove.mid	Roberta Flack	Making Love
TheCloserIGetToYou.mid	Roberta Flack	The Closer I Get To You
TonightICelebrateMyLove.mid	Roberta Flack	Tonight I Celebrate My Love
WhereIsTheLove.mid	Roberta Flack	Where Is The Love
BibonoAozora.mid	Ryuichi Sakamoto	Bibo no Aozora
Koko.mid	Ryuichi Sakamoto	Koko
MerryChristmasMr.Lawrence.mid	Ryuichi Sakamoto	Merry Christmas Mr.Lawrence
Riderideride.mid	Ryuichi Sakamoto	Ride ride ride
ShelteringSky.mid	Ryuichi Sakamoto	Sheltering Sky
ByYourSide.mid	Sade	By Your Side
CherishTheDay.mid	Sade	Cherish The Day
CherryPie.mid	Sade	Cherry Pie
GiveItUp.mid	Sade	Give It Up
HanginInYourLove.mid	Sade	Hangin In Your Love
KeepLooking(ver1).mid	Sade	Keep Looking (ver 1)
KeepLooking(ver2).mid	Sade	Keep Looking (ver 2)
KissofLife.mid	Sade	Kiss of Life
LoveIsStrongerThanPride.mid	Sade	Love Is Stronger Than Pride
NoOrdinaryLove.mid	Sade	No Ordinary Love
NothingCanComeBetweenUs.mid	Sade	Nothing Can Come Between Us
OrdinaryLove.mid	Sade	Ordinary Love
Paradise.mid	Sade	Paradise
SiempreHayEsperanza.mid	Sade	Siempre Hay Esperanza
SmoothOperator.mid	Sade	Smooth Operator
SweetestTaboo.mid	Sade	Sweetest Taboo
WhyCantWeLiveTogether.mid	Sade	Why Cant We Live Together
YourLoveIsKing.mid	Sade	Your Love Is King
Aja.mid	Steely Dan	Aja
BabylonSisters.mid	Steely Dan	Babylon Sisters
BlackFriday.mid	Steely Dan	Black Friday
Bodhisattva.mid	Steely Dan	Bodhisattva
DaddyDontLiveInThatNewYorkCityNoMore.mid	Steely Dan	Daddy Dont Live In That New York City No More
DeaconBlues.mid	Steely Dan	Deacon Blues
DoItAgain.mid	Steely Dan	Do It Again
EastSt.LouisToodleOh.mid	Steely Dan	East St. Louis Toodle Oh
FM.mid	Steely Dan	FM
GoodbyeLook.mid	Steely Dan	Good bye Look
HeyNineteen.mid	Steely Dan	Hey Nineteen
HomeAtLast.mid	Steely Dan	Home At Last
IGY.mid	Steely Dan	IGY
Josie.mid	Steely Dan	Josie
KidCharlemagne.mid	Steely Dan	Kid Charlemagne
Maxine.mid	Steely Dan	Maxine
MyOldSchool.mid	Steely Dan	My Old School
NewFrontier.mid	Steely Dan	New Frontier
Nightfly.mid	Steely Dan	Nightfly
Peg.mid	Steely Dan	Peg
PretzalLogic.mid	Steely Dan	Pretzal Logic
ReelingInTheYears.mid	Steely Dan	Reeling In The Years
RikkiDontLoseThatNumber.mid	Steely Dan	Rikki Dont Lose That Number
RikkiDontLoseThatNumber(2).mid	Steely Dan	Rikki Dont Lose That Number (2)
RubyBaby.mid	Steely Dan	Ruby Baby
RubyTuesday.mid	Steely Dan	Ruby Tuesday
WalkBetweentheRaindrops.mid	Steely Dan	Walk Between the Raindrops
BoogieOnRaggaeWomen.mid	Stevie Wonder	Boogie On Raggae Women
DontYouWorryAboutaThing.mid	Stevie Wonder	Don't You Worry About a Thing
Ebony&Ivory.mid	Stevie Wonder	Ebony & Ivory
ForOnceinMyLife.mid	Stevie Wonder	For Once in My Life
GoldenLady.mid	Stevie Wonder	Golden Lady
HappyBirthday.mid	Stevie Wonder	Happy Birthday
HeavenHelpUsAll.mid	Stevie Wonder	Heaven Help Us All
HesMisstraKnow-it-all.mid	Stevie Wonder	Hes Misstra Know-it-all
HigherGround.mid	Stevie Wonder	Higher Ground
IJustCalledtoSayILoveYou.mid	Stevie Wonder	I Just Called to Say I Love You
IWish.mid	Stevie Wonder	I Wish
IsntSheLovely.mid	Stevie Wonder	Isn't She Lovely
KnocksMeOffMyFeet.mid	Stevie Wonder	Knocks Me Off My Feet
Masquerade.mid	Stevie Wonder	Masquerade
MasterBlaster.mid	Stevie Wonder	Master Blaster
MyCherieAmour.mid	Stevie Wonder	My Cherie Amour
Overjoy.mid	Stevie Wonder	Overjoy
PartTimeLover.mid	Stevie Wonder	Part Time Lover
RibbonInTheSky.mid	Stevie Wonder	Ribbon In The Sky
SignedSealedDelivered.mid	Stevie Wonder	Signed Sealed Delivered
Signed,Sealed,Delivered(ImYours).mid	Stevie Wonder	Signed, Sealed, Delivered (Im Yours)
SirDuke.mid	Stevie Wonder	Sir Duke
Superstitions.mid	Stevie Wonder	Superstitions
ThatsWhatFriendsAreFor.mid	Stevie Wonder	Thats What Friends Are For
UptightEverythingsAlright.mid	Stevie Wonder	Uptight Everything's Alright
WhereItsAt.mid	Stevie Wonder	Where It's At
YouAreTheSunshineOfMyLife.mid	Stevie Wonder	You Are The Sunshine Of My Life
YouAreTheSunshineOfMyLife(2).mid	Stevie Wonder	You Are The Sunshine Of My Life (2)
AThousandYears.mid	Sting	A Thousand Years
AfterTheRainHasFallen.mid	Sting	After The Rain Has Fallen
AllFourSeasons.mid	Sting	All Four Seasons
AllThisTime.mid	Sting	All This Time
BeStillMyBeatingHeart.mid	Sting	Be Still My Beating Heart
BeneathADesertMoon.mid	Sting	Beneath A Desert Moon
BrandNewDay.mid	Sting	Brand New Day
ConsiderMeGone.mid	Sting	Consider Me Gone
DeadMansRope.mid	Sting	Dead Mans Rope
DesertRose.mid	Sting	Desert Rose
EndOfTheGame.mid	Sting	End Of The Game
EnglishManInNewYork.mid	Sting	English Man In New York
Epilogue.mid	Sting	Epilogue
EveryBreatheYouTake.mid	Sting	Every Breathe You Take
FieldsOfGold.mid	Sting	Fields Of Gold
FillHerUp.mid	Sting	Fill Her Up
FortressAroundYourHeart.mid	Sting	Fortress Around Your Heart
Fragile.mid	Sting	Fragile
GhostStory.mid	Sting	Ghost Story
HeavyCloudsNoRain.mid	Sting	Heavy Clouds No Rain
IHungMyHead.mid	Sting	I Hung My Head
IWasBroughtToMySenses.mid	Sting	I Was Brought To My Senses
IfIEverLoseMyFaithInYou.mid	Sting	If I Ever Lose My Faith In You
IfYouLoveSomebodySetThemFree.mid	Sting	If You Love Somebody Set Them Free
ImSoHappyICantStopCrying.mid	Sting	Im So Happy I Cant Stop Crying
Inside.mid	Sting	Inside
IslandOfSouls.mid	Sting	Island Of Souls
ItsProbablyMe.mid	Sting	Its Probably Me
LaBelleDameSansRegrets.mid	Sting	La Belle Dame Sans Regrets
LetYourSoulBeYourPilot.mid	Sting	Let Your Soul Be Your Pilot
LithiumSunset.mid	Sting	Lithium Sunset
LittleWing.mid	Sting	Little Wing
LoveIsStrongerThanJustice.mid	Sting	Love Is Stronger Than Justice
LoveIsTheSeventhWave.mid	Sting	Love Is The Seventh Wave
MadAboutYou.mid	Sting	Mad About You
MoonOverBourbonStreet.mid	Sting	Moon Over Bourbon Street
NeverComingHome.mid	Sting	Never Coming Home
NothingBoutMe.mid	Sting	Nothing Bout Me
Russians.mid	Sting	Russians
SaintAgnesandTheBlessingTrain.mid	Sting	Saint Agnes and The Blessing Train
SaintAugustine.mid	Sting	Saint Augustine
SecondMarriage.mid	Sting	Second Marriage
SendYourLove.mid	Sting	Send Your Love
SevenDays.mid	Sting	Seven Days
ShapeOfMyHeart.mid	Sting	Shape Of My Heart
ShesTooGoodForMe.mid	Sting	Shes Too Good For Me
SisterMoon.mid	Sting	Sister Moon
Someonetowatchoverme.mid	Sting	Someone to watch over me
SomethingTheBoySaid.mid	Sting	Something The Boy Said
SoulCages.mid	Sting	Soul Cages
StolenCar(TakeMeDancing).mid	Sting	Stolen Car (Take Me Dancing)
StraightToMyHeart.mid	Sting	Straight To My Heart
TheHoundsOfWinter.mid	Sting	The Hounds Of Winter
TheSecretMariage.mid	Sting	The Secret Mariage
TheWildWildSea.mid	Sting	The Wild Wild Sea
TheyDanceAlone.mid	Sting	They Dance Alone
ThisCowboySong.mid	Sting	This Cowboy Song
TwentyFiveToMidnight.mid	Sting	Twenty Five To Midnight
Valparaiso.mid	Sting	Valparaiso
WeWorkTheBlackSeam.mid	Sting	We Work The Black Seam
WellBeTogether.mid	Sting	We'll Be Together
WhenWeDance.mid	Sting	When We Dance
WheneverISayYourName.mid	Sting	Whenever I Say Your Name
WhyShouldICryForYou.mid	Sting	Why Should I Cry For You
YouStillTouchMe.mid	Sting	You Still Touch Me
Music!Music!Music!.mid	Teresa Brewer	Music! Music! Music!
ItsAllIntheGame.mid	Tommy Edwards	It's All In the Game
LoveIsAllWeNeed.mid	Tommy Edwards	Love Is All We Need
CantilopeIsland.mid	US3	Cantilope Island
BrownEyedGirl.mid	Van Morrison	Brown Eyed Girl
Domino.mid	Van Morrison	Domino
IntotheMystic.mid	Van Morrison	Into the Mystic
Moondance.mid	Van Morrison	Moondance
WildNights.mid	Van Morrison	Wild Nights
ColorsOfTheWind.mid	Vanessa Williams	Colors Of The Wind
SaveTheBestForLast.mid	Vanessa Williams	Save The Best For Last
WhatsAWoman.mid	Vaya Con Dios	What's A Woman
Peanuts.mid	Vince Guaraldi	Peanuts
AFifthofBeethoven.mid	Walter Murphy	A Fifth of Beethoven
ARemarkYouMade.mid	Weather Report	A Remark You Made
BirdLand.mid	Weather Report	Bird Land
BlackMarket.mid	Weather Report	Black Market
ElegantPeople.mid	Weather Report	Elegant People
Havona.mid	Weather Report	Havona
Paladium.mid	Weather Report	Paladium
Phantasm.mid	Weather Report	Phantasm
PictureOfYou.mid	Weather Report	Picture Of You
Pinocchio.mid	Weather Report	Pinocchio
Rawhide.mid	Weather Report	Rawhide
Teentown.mid	Weather Report	Teentown
HowYaDoDat.mid	Young Blood	How Ya Do Dat
